Gueymard_2002_unpublished	
27050	0.03693
27100	0.03668
27150	0.03656
27200	0.03638
27250	0.03613
27300	0.03601
27350	0.03574
27400	0.03553
27450	0.03538
27500	0.03518
27550	0.03486
27600	0.03455
27650	0.0344
27700	0.03426
27750	0.03393
27800	0.03364
27850	0.03342
27900	0.0332
27950	0.03293
28000	0.03276
28050	0.03253
28100	0.03242
28150	0.03226
28200	0.03206
28250	0.03184
28300	0.0317
28350	0.03145
28400	0.03118
28450	0.03095
28500	0.03068
28550	0.03043
28600	0.03016
28650	0.02996
28700	0.0296
28750	0.0294
28800	0.0294
28850	0.02922
28900	0.02907
28950	0.02896
29000	0.02881
29050	0.02867
29100	0.0285
29150	0.02822
29200	0.02804
29250	0.02778
29300	0.02757
29350	0.02733
29400	0.02714
29450	0.02684
29500	0.02668
29550	0.02656
29600	0.02638
29650	0.02626
29700	0.02612
29750	0.02601
29800	0.0258
29850	0.02569
29900	0.02554
29950	0.0254
30000	0.02525
30050	0.02512
30100	0.02498
30150	0.02486
30200	0.02466
30250	0.02454
30300	0.02442
30350	0.02421
30400	0.02393
30450	0.02402
30500	0.02395
30550	0.02386
30600	0.02376
30650	0.02354
30700	0.02344
30750	0.02335
30800	0.02315
30850	0.02295
30900	0.0228
30950	0.02263
31000	0.02243
31050	0.02228
31100	0.02211
31150	0.02177
31200	0.02174
31250	0.02158
31300	0.02145
31350	0.02136
31400	0.02118
31450	0.02107
31500	0.02088
31550	0.02083
31600	0.02073
31650	0.02066
31700	0.02052
31750	0.02047
31800	0.02032
31850	0.02024
31900	0.02019
31950	0.02008
32000	0.01994
32050	0.01986
32100	0.01976
32150	0.01962
32200	0.01954
32250	0.01942
32300	0.01938
32350	0.01926
32400	0.01921
32450	0.0191
32500	0.01909
32550	0.0189
32600	0.0188
32650	0.0187
32700	0.0186
32750	0.01848
32800	0.01837
32850	0.01832
32900	0.01826
32950	0.01803
33000	0.01792
33050	0.01786
33100	0.0177
33150	0.0176
33200	0.0173
33250	0.01728
33300	0.01713
33350	0.01703
33400	0.01685
33450	0.01678
33500	0.0166
33550	0.0165
33600	0.01636
33650	0.01629
33700	0.01618
33750	0.01611
33800	0.01601
33850	0.01598
33900	0.0159
33950	0.0158
34000	0.01564
34050	0.01565
34100	0.01554
34150	0.01547
34200	0.01543
34250	0.01532
34300	0.01522
34350	0.01515
34400	0.01505
34450	0.01502
34500	0.01492
34550	0.01488
34600	0.0148
34650	0.01476
34700	0.01466
34750	0.01456
34800	0.01448
34850	0.01445
34900	0.01436
34950	0.01432
35000	0.01423
35050	0.01415
35100	0.01405
35150	0.01402
35200	0.01393
35250	0.01389
35300	0.0138
35350	0.01376
35400	0.01367
35450	0.01366
35500	0.01357
35550	0.01345
35600	0.01336
35650	0.01336
35700	0.01325
35750	0.01318
35800	0.01308
35850	0.01305
35900	0.01298
35950	0.01294
36000	0.01285
36050	0.01283
36100	0.01274
36150	0.01272
36200	0.01264
36250	0.01261
36300	0.01251
36350	0.01249
36400	0.0124
36450	0.01236
36500	0.01228
36550	0.01222
36600	0.01215
36650	0.01215
36700	0.01204
36750	0.01203
36800	0.01189
36850	0.01183
36900	0.01177
36950	0.01172
37000	0.01155
37050	0.0116
37100	0.01151
37150	0.0115
37200	0.01144
37250	0.01143
37300	0.01134
37350	0.01128
37400	0.01108
37450	0.01108
37500	0.01104
37550	0.011
37600	0.01094
37650	0.01093
37700	0.01086
37750	0.0108
37800	0.01074
37850	0.01073
37900	0.01063
37950	0.01062
38000	0.01053
38050	0.01053
38100	0.01043
38150	0.01041
38200	0.01034
38250	0.01033
38300	0.01025
38350	0.01021
38400	0.01015
38450	0.01013
38500	0.01005
38550	0.01003
38600	0.00994
38650	0.00991
38700	0.00983
38750	0.00983
38800	0.00975
38850	0.0097
38900	0.00971
38950	0.00962
39000	0.0096
39050	0.00959
39100	0.00952
39150	0.0095
39200	0.00941
39250	0.0094
39300	0.00932
39350	0.0093
39400	0.00923
39450	0.0092
39500	0.00911
39550	0.00908
39600	0.00902
39650	0.00901
39700	0.00893
39750	0.00891
39800	0.00884
39850	0.0088
39900	0.00878
39950	0.0087
40000	0.00868
