ASTM_E490_interpolated	
27200	0.0376
27250	0.0374
27300	0.0371
27350	0.0369
27400	0.0366
27450	0.0363
27500	0.0360
27550	0.0358
27600	0.0355
27650	0.0353
27700	0.0351
27750	0.0349
27800	0.0347
27850	0.0345
27900	0.0343
27950	0.0341
28000	0.0339
28050	0.0336
28100	0.0334
28150	0.0332
28200	0.0330
28250	0.0328
28300	0.0325
28350	0.0323
28400	0.0321
28450	0.0319
28500	0.0316
28550	0.0314
28600	0.0312
28650	0.0310
28700	0.0308
28750	0.0305
28800	0.0303
28850	0.0302
28900	0.0300
28950	0.0298
29000	0.0297
29050	0.0295
29100	0.0293
29150	0.0291
29200	0.0289
29250	0.0287
29300	0.0285
29350	0.0284
29400	0.0282
29450	0.0280
29500	0.0278
29550	0.0277
29600	0.0275
29650	0.0273
29700	0.0272
29750	0.0270
29800	0.0268
29850	0.0266
29900	0.0265
29950	0.0263
30000	0.0261
30050	0.0260
30100	0.0258
30150	0.0256
30200	0.0255
30250	0.0253
30300	0.0251
30350	0.0249
30400	0.0247
30450	0.0245
30500	0.0244
30550	0.0243
30600	0.0242
30650	0.0241
30700	0.0239
30750	0.0238
30800	0.0236
30850	0.0235
30900	0.0234
30950	0.0232
31000	0.0231
31050	0.0229
31100	0.0228
31150	0.0226
31200	0.0225
31250	0.0223
31300	0.0222
31350	0.0221
31400	0.0220
31450	0.0218
31500	0.0217
31550	0.0216
31600	0.0214
31650	0.0213
31700	0.0212
31750	0.0211
31800	0.0210
31850	0.0208
31900	0.0207
31950	0.0206
32000	0.0205
32050	0.0204
32100	0.0202
32150	0.0201
32200	0.0200
32250	0.0199
32300	0.0198
32350	0.0196
32400	0.0195
32450	0.0194
32500	0.0193
32550	0.0192
32600	0.0191
32650	0.0189
32700	0.0188
32750	0.0187
32800	0.0186
32850	0.0184
32900	0.0183
32950	0.0182
33000	0.0180
33050	0.0179
33100	0.0179
33150	0.0178
33200	0.0177
33250	0.0176
33300	0.0175
33350	0.0174
33400	0.0174
33450	0.0173
33500	0.0172
33550	0.0171
33600	0.0170
33650	0.0169
33700	0.0168
33750	0.0167
33800	0.0166
33850	0.0165
33900	0.0164
33950	0.0163
34000	0.0162
34050	0.0161
34100	0.0160
34150	0.0159
34200	0.0158
34250	0.0158
34300	0.0157
34350	0.0156
34400	0.0155
34450	0.0155
34500	0.0154
34550	0.0153
34600	0.0152
34650	0.0151
34700	0.0150
34750	0.0149
34800	0.0149
34850	0.0148
34900	0.0147
34950	0.0146
35000	0.0146
35050	0.0145
35100	0.0144
35150	0.0143
35200	0.0143
35250	0.0142
35300	0.0141
35350	0.0140
35400	0.0139
35450	0.0139
35500	0.0138
35550	0.0137
35600	0.0136
35650	0.0136
35700	0.0135
35750	0.0134
35800	0.0133
35850	0.0133
35900	0.0132
35950	0.0131
36000	0.0131
36050	0.0130
36100	0.0129
36150	0.0129
36200	0.0128
36250	0.0127
36300	0.0127
36350	0.0126
36400	0.0125
36450	0.0124
36500	0.0124
36550	0.0123
36600	0.0122
36650	0.0121
36700	0.0121
36750	0.0120
36800	0.0119
36850	0.0119
36900	0.0118
36950	0.0117
37000	0.0116
37050	0.0116
37100	0.0115
37150	0.0115
37200	0.0115
37250	0.0114
37300	0.0113
37350	0.0112
37400	0.0111
37450	0.0111
37500	0.0110
37550	0.0110
37600	0.0110
37650	0.0109
37700	0.0109
37750	0.0108
37800	0.0108
37850	0.0107
37900	0.0107
37950	0.0106
38000	0.0106
38050	0.0105
38100	0.0105
38150	0.0104
38200	0.0104
38250	0.0103
38300	0.0103
38350	0.0102
38400	0.0102
38450	0.0101
38500	0.0101
38550	0.0100
38600	0.0100
38650	0.0099
38700	0.0099
38750	0.0098
38800	0.0098
38850	0.0097
38900	0.0097
38950	0.0096
39000	0.0096
39050	0.0096
39100	0.0095
39150	0.0095
39200	0.0094
39250	0.0094
39300	0.0093
39350	0.0093
39400	0.0092
39450	0.0092
39500	0.0091
39550	0.0091
39600	0.0090
39650	0.0090
39700	0.0089
39750	0.0089
39800	0.0089
39850	0.0088
39900	0.0088
39950	0.0087
40000	0.0087
