Gueymard_2004	
31450	0.0215
31500	0.02125
31550	0.02119
31600	0.02112
31650	0.02095
31700	0.02079
31750	0.02075
31800	0.02058
31850	0.02049
31900	0.02039
31950	0.02027
32000	0.02008
32050	0.02001
32100	0.01991
32150	0.01975
32200	0.01967
32250	0.01954
32300	0.01943
32350	0.01929
32400	0.01916
32450	0.01904
32500	0.019
32550	0.01886
32600	0.01874
32650	0.01863
32700	0.01854
32750	0.01841
32800	0.01827
32850	0.01816
32900	0.018
32950	0.01763
33000	0.0176
33050	0.01774
33100	0.01768
33150	0.01751
33200	0.01721
33250	0.01732
33300	0.01729
33350	0.01718
33400	0.01706
33450	0.017
33500	0.01688
33550	0.01679
33600	0.01672
33650	0.01658
33700	0.01644
33750	0.0164
33800	0.01631
33850	0.01623
33900	0.01617
33950	0.01596
34000	0.01575
34050	0.01582
34100	0.01575
34150	0.01561
34200	0.01559
34250	0.0155
34300	0.01541
34350	0.01537
34400	0.01529
34450	0.0152
34500	0.01512
34550	0.01503
34600	0.01496
34650	0.01487
34700	0.01476
34750	0.01468
34800	0.01462
34850	0.01454
34900	0.01446
34950	0.01437
35000	0.01431
35050	0.01424
35100	0.01416
35150	0.01407
35200	0.01399
35250	0.01392
35300	0.01385
35350	0.01374
35400	0.01367
35450	0.01364
35500	0.01356
35550	0.01344
35600	0.01336
35650	0.01333
35700	0.01324
35750	0.01318
35800	0.01309
35850	0.01303
35900	0.01298
35950	0.0129
36000	0.01283
36050	0.01279
36100	0.01272
36150	0.01266
36200	0.0126
36250	0.01252
36300	0.01245
36350	0.01239
36400	0.01231
36450	0.01222
36500	0.01214
36550	0.01204
36600	0.01201
36650	0.01198
36700	0.0119
36750	0.01182
36800	0.01167
36850	0.01166
36900	0.01166
36950	0.01149
37000	0.01133
37050	0.01136
37100	0.01132
37150	0.0113
37200	0.01129
37250	0.01125
37300	0.01119
37350	0.01101
37400	0.01075
37450	0.01073
37500	0.01083
37550	0.01081
37600	0.0108
37650	0.01078
37700	0.01073
37750	0.01063
37800	0.01059
37850	0.01056
37900	0.01048
37950	0.01043
38000	0.01039
38050	0.01035
38100	0.01029
38150	0.01024
38200	0.01021
38250	0.01019
38300	0.01013
38350	0.01005
38400	0.01002
38450	0.009991
38500	0.009942
38550	0.009883
38600	0.009806
38650	0.009739
38700	0.009701
38750	0.009682
38800	0.009631
38850	0.009544
38900	0.009526
38950	0.009475
39000	0.009424
39050	0.009398
39100	0.009358
39150	0.009313
39200	0.009262
39250	0.009226
39300	0.009174
39350	0.009121
39400	0.009093
39450	0.00903
39500	0.008952
39550	0.008896
39600	0.008871
39650	0.008854
39700	0.008813
39750	0.008764
39800	0.008716
39850	0.008643
39900	0.008589
39950	0.008533
40000	0.0083
